resultId,circuitID,Weather,raceId,driverId,constructorId,positionOrder,laps,pit_id,pit stops duration,# of pitstops,quali_ position
25299,69,0,1069,847,3,14,55,1069-847,23.572,2,15
25300,69,0,1069,849,3,15,55,1069-849,32.61,2,17
25301,69,0,1069,854,210,16,54,1069-854,24.293,3,19
25302,69,0,1069,853,210,17,54,1069-853,30.673,3,20
25303,69,0,1069,4,214,18,49,1069-4,23.576,2,14
25304,69,0,1069,839,214,19,40,1069-839,40.8,1,11
25305,69,0,1069,842,213,20,14,1069-842,23.745,1,9
25306,32,0,1070,830,9,1,71,1070-830,21.908,1,3
25307,32,0,1070,1,131,2,71,1070-1,22.373,1,2
25308,32,0,1070,815,9,3,71,1070-815,22.114,1,4
25309,32,0,1070,842,213,4,71,1070-842,22.549,1,5
25310,32,0,1070,844,6,5,71,1070-844,22.085,1,8
25311,32,0,1070,832,6,6,70,1070-832,22.031,1,6
25312,32,0,1070,20,117,7,70,1070-20,22.277,1,11
25313,32,0,1070,8,51,8,70,1070-8,22.424,1,12
25314,32,0,1070,4,214,9,70,1070-4,23.985,1,16
25315,32,0,1070,846,1,10,70,1070-846,22.534,1,10
25316,32,0,1070,841,51,11,70,1070-841,22.205,2,14
25317,32,0,1070,817,1,12,70,1070-817,38.128,1,7
25318,32,0,1070,839,214,13,70,1070-839,23.1,2,15
25319,32,0,1070,840,117,14,69,1070-840,23.586,4,20
25320,32,0,1070,822,131,15,69,1070-822,22.463,1,1
25321,32,0,1070,847,3,16,69,1070-847,21.984,2,13
25322,32,0,1070,849,3,17,69,1070-849,23.681,2,17
25323,32,0,1070,853,210,18,68,1070-853,25.094,0,19
25324,32,0,1070,854,210,19,0,1070-854,50,0,18
25325,32,0,1070,852,213,20,0,1070-852,50,4,9
25326,18,0,1071,1,131,1,71,1071-1,17.91,4,1
25327,18,0,1071,830,9,2,71,1071-830,17.916,4,2
25328,18,0,1071,822,131,3,71,1071-822,17.899,5,3
25329,18,0,1071,815,9,4,71,1071-815,18.308,4,4
25330,18,0,1071,844,6,5,71,1071-844,17.943,4,7
25331,18,0,1071,832,6,6,71,1071-832,18.46,4,6
25332,18,0,1071,842,213,7,70,1071-842,19.439,3,5
25333,18,0,1071,839,214,8,70,1071-839,19.285,3,11
